id,firstname,lastname,email,Major,Major mark,Birthday
23,Deloria,Neva,Deloria.Neva@yopmail.com,JOURNALISM,10,1996-11-18
24,Vere,Japeth,Vere.Japeth@yopmail.com,COMMUNICATION TECHNOLOGIES,6,1995-06-03
25,Nollie,Manolo,Nollie.Manolo@yopmail.com,FOOD SCIENCE,9,1996-04-23
26,Pollyanna,Magdalen,Pollyanna.Magdalen@yopmail.com,FOOD SCIENCE,3,1995-11-02
27,Rani,Weitman,Rani.Weitman@yopmail.com,SOIL SCIENCE,4,1995-07-02
28,Allis,Hirsch,Allis.Hirsch@yopmail.com,PLANT SCIENCE AND AGRONOMY,8,1995-11-06
29,Renie,Ader,Renie.Ader@yopmail.com,SOIL SCIENCE,1,1995-01-26
30,Clarice,Schalles,Clarice.Schalles@yopmail.com,PLANT SCIENCE AND AGRONOMY,5,1995-04-05
31,Gabi,Bobbee,Gabi.Bobbee@yopmail.com,FOOD SCIENCE,9,1996-05-06
32,Lisette,Cressida,Lisette.Cressida@yopmail.com,COMMUNICATION TECHNOLOGIES,3,1995-12-14
33,Rosene,Deny,Rosene.Deny@yopmail.com,JOURNALISM,6,1996-08-25
34,Tomasina,Carey,Tomasina.Carey@yopmail.com,SOIL SCIENCE,4,1995-10-22
35,Justinn,Viddah,Justinn.Viddah@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,2,1995-06-15
36,Hayley,Bultman,Hayley.Bultman@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,8,1996-09-08
37,Cyndie,Phyllis,Cyndie.Phyllis@yopmail.com,FOOD SCIENCE,4,1995-09-22
38,Anestassia,Dreda,Anestassia.Dreda@yopmail.com,COMMUNICATION TECHNOLOGIES,4,1996-09-05
39,Madeleine,Brotherson,Madeleine.Brotherson@yopmail.com,PLANT SCIENCE AND AGRONOMY,1,1996-06-29
40,Giustina,Fink,Giustina.Fink@yopmail.com,COMMUNICATION TECHNOLOGIES,7,1995-07-01
41,Evita,Kannry,Evita.Kannry@yopmail.com,PLANT SCIENCE AND AGRONOMY,7,1995-03-14
42,Julieta,Helfand,Julieta.Helfand@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,2,1996-11-09
43,Marnia,Martsen,Marnia.Martsen@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,5,1995-08-07
44,Consuela,Yusuk,Consuela.Yusuk@yopmail.com,SOIL SCIENCE,8,1996-02-15
45,Nessie,Clarissa,Nessie.Clarissa@yopmail.com,PLANT SCIENCE AND AGRONOMY,8,1995-11-13
46,Leia,Cullin,Leia.Cullin@yopmail.com,FOOD SCIENCE,10,1996-10-26
47,Emilia,Sawtelle,Emilia.Sawtelle@yopmail.com,SOIL SCIENCE,5,1996-03-05
48,Claresta,Merell,Claresta.Merell@yopmail.com,COMMUNICATION TECHNOLOGIES,3,1996-08-11
49,Claudina,Noam,Claudina.Noam@yopmail.com,JOURNALISM,8,1996-05-11
50,Audrie,Colyer,Audrie.Colyer@yopmail.com,PLANT SCIENCE AND AGRONOMY,8,1995-06-15
51,Lexine,Tengdin,Lexine.Tengdin@yopmail.com,FOOD SCIENCE,3,1996-03-15
52,Joeann,Weinreb,Joeann.Weinreb@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,1,1996-11-17
53,Paola,Papageno,Paola.Papageno@yopmail.com,JOURNALISM,5,1996-08-31
54,Lynnea,Hull,Lynnea.Hull@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,5,1995-07-20
55,Albertina,Schenck,Albertina.Schenck@yopmail.com,FOOD SCIENCE,9,1996-01-06
56,Amalie,Dimitris,Amalie.Dimitris@yopmail.com,JOURNALISM,6,1995-10-05
57,Adore,Aurelio,Adore.Aurelio@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,6,1995-10-04
58,Carolina,Ochs,Carolina.Ochs@yopmail.com,JOURNALISM,7,1996-08-31
59,Leia,Firmin,Leia.Firmin@yopmail.com,SOIL SCIENCE,6,1996-08-24
60,Merci,Sothena,Merci.Sothena@yopmail.com,PLANT SCIENCE AND AGRONOMY,2,1996-02-04
61,Aili,Alice,Aili.Alice@yopmail.com,SOIL SCIENCE,9,1995-05-26
62,Emmey,Nunci,Emmey.Nunci@yopmail.com,JOURNALISM,6,1996-04-10
63,Courtnay,Bergman,Courtnay.Bergman@yopmail.com,FOOD SCIENCE,3,1995-04-20
64,Susan,Judye,Susan.Judye@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,2,1996-08-18
65,Lonnie,Marlie,Lonnie.Marlie@yopmail.com,SOIL SCIENCE,4,1995-10-22
66,Sheelagh,Charmine,Sheelagh.Charmine@yopmail.com,COMMUNICATION TECHNOLOGIES,5,1995-10-13
67,Monika,Gladstone,Monika.Gladstone@yopmail.com,FOOD SCIENCE,9,1996-02-04
68,Cacilie,Ammann,Cacilie.Ammann@yopmail.com,COMMUNICATION TECHNOLOGIES,6,1996-07-02
69,Alexine,Abernon,Alexine.Abernon@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,7,1995-12-24
70,Kelly,Isacco,Kelly.Isacco@yopmail.com,SOIL SCIENCE,4,1995-08-15
71,Mamie,Fleeta,Mamie.Fleeta@yopmail.com,SOIL SCIENCE,4,1996-06-04
72,Kayla,Katrine,Kayla.Katrine@yopmail.com,PLANT SCIENCE AND AGRONOMY,5,1995-09-05
73,Melisent,Payson,Melisent.Payson@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,9,1996-10-05
74,Lenna,Cath,Lenna.Cath@yopmail.com,SOIL SCIENCE,4,1995-03-29
75,Lynnea,Lareena,Lynnea.Lareena@yopmail.com,JOURNALISM,7,1995-01-23
76,Leona,Terencio,Leona.Terencio@yopmail.com,FOOD SCIENCE,8,1996-11-30
77,Carree,Shuler,Carree.Shuler@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,8,1996-07-31
78,Monika,Brian,Monika.Brian@yopmail.com,PLANT SCIENCE AND AGRONOMY,3,1995-05-22
79,Nerta,Wittie,Nerta.Wittie@yopmail.com,PLANT SCIENCE AND AGRONOMY,7,1996-12-15
80,Jaime,Ramona,Jaime.Ramona@yopmail.com,PLANT SCIENCE AND AGRONOMY,7,1995-06-29
81,Priscilla,Marden,Priscilla.Marden@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,1,1995-04-11
82,Lory,Muriel,Lory.Muriel@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,2,1995-10-16
83,Lorie,Belldas,Lorie.Belldas@yopmail.com,FOOD SCIENCE,3,1995-01-03
84,Wendi,Genna,Wendi.Genna@yopmail.com,JOURNALISM,5,1995-02-23
85,Ericka,Harl,Ericka.Harl@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,2,1996-10-27
86,Corly,Melan,Corly.Melan@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,1,1995-03-15
87,Kenna,Hillel,Kenna.Hillel@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,2,1996-10-20
88,Beatriz,Vins,Beatriz.Vins@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,3,1996-01-28
89,Monika,Kare,Monika.Kare@yopmail.com,COMMUNICATION TECHNOLOGIES,1,1996-06-02
90,Shirlee,Sparhawk,Shirlee.Sparhawk@yopmail.com,COMMUNICATION TECHNOLOGIES,5,1995-01-27
91,Justinn,Tacye,Justinn.Tacye@yopmail.com,SOIL SCIENCE,3,1995-02-14
92,Noelle,Kinnard,Noelle.Kinnard@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,8,1995-06-01
93,Dari,Olnee,Dari.Olnee@yopmail.com,COMMUNICATION TECHNOLOGIES,9,1996-07-07
94,Bernie,Joni,Bernie.Joni@yopmail.com,JOURNALISM,4,1995-05-16
95,Estell,Fitzsimmons,Estell.Fitzsimmons@yopmail.com,FOOD SCIENCE,9,1995-02-09
96,Wileen,Sundin,Wileen.Sundin@yopmail.com,FOOD SCIENCE,6,1995-03-13
97,Basia,Fitzsimmons,Basia.Fitzsimmons@yopmail.com,FOOD SCIENCE,6,1995-10-28
98,Jean,Brian,Jean.Brian@yopmail.com,SOIL SCIENCE,10,1996-06-06
99,Brana,Alcott,Brana.Alcott@yopmail.com,JOURNALISM,9,1996-03-14
100,Jordan,Peg,Jordan.Peg@yopmail.com,JOURNALISM,6,1995-12-31
